Belegungsfaktor: 0,2631579 | T(20): 124.050 | T1(20): 018.725 | T2(20): 055.003 | T3(20): 050.322
Belegungsfaktor: 0,2597403 | T(20): 115.858 | T1(20): 017.262 | T2(20): 053.833 | T3(20): 044.763
Belegungsfaktor: 0,2564103 | T(20): 174.958 | T1(20): 064.074 | T2(20): 060.562 | T3(20): 050.322
Belegungsfaktor: 0,2531646 | T(20): 145.408 | T1(20): 030.720 | T2(20): 069.340 | T3(20): 045.348
Belegungsfaktor: 0,2500000 | T(20): 131.950 | T1(20): 029.257 | T2(20): 054.711 | T3(20): 047.982
Belegungsfaktor: 0,2469136 | T(20): 119.369 | T1(20): 014.629 | T2(20): 057.051 | T3(20): 047.689
Belegungsfaktor: 0,2439024 | T(20): 119.368 | T1(20): 014.921 | T2(20): 056.173 | T3(20): 048.274
Belegungsfaktor: 0,2409639 | T(20): 117.028 | T1(20): 014.336 | T2(20): 057.929 | T3(20): 044.763
Belegungsfaktor: 0,2380952 | T(20): 152.138 | T1(20): 015.799 | T2(20): 069.632 | T3(20): 066.707
Belegungsfaktor: 0,2352941 | T(20): 207.726 | T1(20): 085.431 | T2(20): 070.217 | T3(20): 052.078
Belegungsfaktor: 0,2325581 | T(20): 199.826 | T1(20): 084.261 | T2(20): 062.902 | T3(20): 052.663
Belegungsfaktor: 0,2298851 | T(20): 258.633 | T1(20): 147.456 | T2(20): 057.929 | T3(20): 053.248
Belegungsfaktor: 0,2272727 | T(20): 172.325 | T1(20): 027.209 | T2(20): 063.488 | T3(20): 081.628
Belegungsfaktor: 0,2247191 | T(20): 218.844 | T1(20): 095.964 | T2(20): 061.147 | T3(20): 061.733
Belegungsfaktor: 0,2222222 | T(20): 245.467 | T1(20): 112.640 | T2(20): 065.829 | T3(20): 066.998
Belegungsfaktor: 0,2197802 | T(20): 1.552.676 | T1(20): 1.307.209 | T2(20): 176.128 | T3(20): 069.339
Belegungsfaktor: 0,2173913 | T(20): 214.455 | T1(20): 064.951 | T2(20): 079.579 | T3(20): 069.925
Belegungsfaktor: 0,2150538 | T(20): 126.684 | T1(20): 016.969 | T2(20): 059.685 | T3(20): 050.030
Belegungsfaktor: 0,2127660 | T(20): 119.369 | T1(20): 014.044 | T2(20): 053.540 | T3(20): 051.785
Belegungsfaktor: 0,2105263 | T(20): 120.247 | T1(20): 015.213 | T2(20): 056.467 | T3(20): 048.567
Belegungsfaktor: 0,2083333 | T(20): 119.954 | T1(20): 014.628 | T2(20): 056.759 | T3(20): 048.567
Belegungsfaktor: 0,2061856 | T(20): 127.853 | T1(20): 019.309 | T2(20): 058.222 | T3(20): 050.322
Belegungsfaktor: 0,2040816 | T(20): 129.024 | T1(20): 016.092 | T2(20): 062.903 | T3(20): 050.029
Belegungsfaktor: 0,2020202 | T(20): 153.307 | T1(20): 034.231 | T2(20): 059.684 | T3(20): 059.392
Belegungsfaktor: 0,2000000 | T(20): 114.688 | T1(20): 013.750 | T2(20): 054.419 | T3(20): 046.519
Belegungsfaktor: 0,1980198 | T(20): 195.438 | T1(20): 014.629 | T2(20): 129.316 | T3(20): 051.493
Belegungsfaktor: 0,1960784 | T(20): 149.211 | T1(20): 038.912 | T2(20): 055.881 | T3(20): 054.418
Belegungsfaktor: 0,1941748 | T(20): 126.684 | T1(20): 016.677 | T2(20): 059.977 | T3(20): 050.030
Belegungsfaktor: 0,1923077 | T(20): 132.242 | T1(20): 023.698 | T2(20): 055.881 | T3(20): 052.663
Belegungsfaktor: 0,1904762 | T(20): 121.418 | T1(20): 016.677 | T2(20): 055.881 | T3(20): 048.860
Belegungsfaktor: 0,1886792 | T(20): 168.814 | T1(20): 025.454 | T2(20): 088.941 | T3(20): 054.419
Belegungsfaktor: 0,1869159 | T(20): 133.997 | T1(20): 020.772 | T2(20): 063.195 | T3(20): 050.030
Belegungsfaktor: 0,1851852 | T(20): 131.072 | T1(20): 016.677 | T2(20): 060.855 | T3(20): 053.540
Belegungsfaktor: 0,1834862 | T(20): 522.825 | T1(20): 239.909 | T2(20): 136.923 | T3(20): 145.993
Belegungsfaktor: 0,1818182 | T(20): 289.645 | T1(20): 159.744 | T2(20): 086.601 | T3(20): 043.300
Belegungsfaktor: 0,1801802 | T(20): 207.141 | T1(20): 141.897 | T2(20): 022.236 | T3(20): 043.008
Belegungsfaktor: 0,1785714 | T(20): 138.972 | T1(20): 076.361 | T2(20): 020.480 | T3(20): 042.131
Belegungsfaktor: 0,1769912 | T(20): 155.356 | T1(20): 088.357 | T2(20): 021.650 | T3(20): 045.349
Belegungsfaktor: 0,1754386 | T(20): 210.359 | T1(20): 145.993 | T2(20): 021.943 | T3(20): 042.423
Belegungsfaktor: 0,1739130 | T(20): 111.177 | T1(20): 027.209 | T2(20): 029.257 | T3(20): 054.711
Belegungsfaktor: 0,1724138 | T(20): 484.791 | T1(20): 405.504 | T2(20): 028.965 | T3(20): 050.322
Belegungsfaktor: 0,1709402 | T(20): 084.846 | T1(20): 019.603 | T2(20): 021.943 | T3(20): 043.300
Belegungsfaktor: 0,1694915 | T(20): 122.003 | T1(20): 066.707 | T2(20): 019.602 | T3(20): 035.694
Belegungsfaktor: 0,1680672 | T(20): 121.124 | T1(20): 062.610 | T2(20): 019.895 | T3(20): 038.619
Belegungsfaktor: 0,1666667 | T(20): 104.155 | T1(20): 025.454 | T2(20): 023.991 | T3(20): 054.710
